file_name,mem_usage_mb,peak_mem_mb,avg_mem_petri_parser_mb,peak_mem_petri_parser_mb,avg_mem_dec_translator_mb,peak_mem_dec_translator_mb,time_ms
1736.pnml,113.57,20.30,13.69,15.41,18.43,20.30,20095.45
1737.pnml,113.62,20.31,13.69,15.41,18.44,20.31,20294.94
1738.pnml,113.72,20.32,13.70,15.42,18.45,20.32,20543.45
1739.pnml,113.76,20.33,13.71,15.43,18.46,20.33,20626.58
173.pnml,29.67,2.01,1.38,1.55,1.86,2.01,254.20
1740.pnml,113.93,20.34,13.72,15.44,18.47,20.34,20680.79
1741.pnml,113.98,20.35,13.73,15.45,18.48,20.35,20574.61
1742.pnml,113.85,20.36,13.73,15.46,18.49,20.36,20542.07
1743.pnml,114.06,20.37,13.74,15.46,18.50,20.37,20222.24
1744.pnml,114.02,20.38,13.75,15.47,18.51,20.38,20455.96
1745.pnml,114.15,20.40,13.76,15.48,18.52,20.40,20362.63
1746.pnml,114.07,20.41,13.76,15.49,18.53,20.41,21808.18
1747.pnml,113.98,20.42,13.77,15.50,18.54,20.42,20900.78
1748.pnml,114.25,20.43,13.78,15.51,18.55,20.43,21279.98
1749.pnml,114.15,20.44,13.79,15.52,18.56,20.44,21374.10
174.pnml,29.70,2.02,1.38,1.56,1.87,2.02,271.35
1750.pnml,114.32,20.45,13.79,15.52,18.57,20.45,21831.52
1751.pnml,114.38,20.46,13.80,15.53,18.58,20.46,20797.46
1752.pnml,114.42,20.47,13.81,15.54,18.59,20.47,20772.38
1753.pnml,114.58,20.48,13.82,15.55,18.60,20.48,20722.13
1754.pnml,114.61,20.49,13.82,15.56,18.61,20.49,20706.75
1755.pnml,114.48,20.50,13.83,15.57,18.63,20.50,20977.37
1756.pnml,114.71,20.51,13.84,15.57,18.64,20.51,20608.27
1757.pnml,114.62,20.52,13.85,15.58,18.65,20.52,20629.48
1758.pnml,114.76,20.54,13.85,15.59,18.66,20.54,21008.76
1759.pnml,114.79,20.55,13.86,15.60,18.67,20.55,21010.55
175.pnml,29.73,2.03,1.39,1.56,1.88,2.03,274.71
1760.pnml,114.80,20.56,13.87,15.61,18.68,20.56,20948.09
1761.pnml,114.93,20.57,13.88,15.62,18.69,20.57,21048.67
1762.pnml,114.96,20.58,13.89,15.63,18.70,20.58,20981.24
1763.pnml,115.00,20.59,13.89,15.63,18.71,20.59,21004.58
1764.pnml,115.07,20.60,13.90,15.64,18.72,20.60,21291.89
1765.pnml,115.04,20.61,13.91,15.65,18.73,20.61,21091.48
1766.pnml,115.20,20.62,13.92,15.66,18.74,20.62,21480.90
1767.pnml,115.33,20.63,13.92,15.67,18.75,20.63,21018.53
1768.pnml,115.36,20.64,13.93,15.68,18.76,20.64,21131.97
1769.pnml,115.41,20.65,13.94,15.69,18.77,20.65,21214.86
176.pnml,29.74,2.05,1.40,1.57,1.89,2.05,266.49
1770.pnml,115.34,20.66,13.95,15.69,18.78,20.66,21185.69
1771.pnml,115.26,20.68,13.95,15.70,18.79,20.68,21204.18
1772.pnml,115.41,20.69,13.96,15.71,18.80,20.69,21209.61
1773.pnml,115.55,20.71,13.98,15.73,18.82,20.71,20950.92
1774.pnml,115.52,20.72,13.99,15.74,18.83,20.72,21442.61
1775.pnml,115.67,20.73,13.99,15.75,18.84,20.73,21340.58
1776.pnml,115.61,20.74,14.00,15.75,18.85,20.74,22006.50
1777.pnml,115.89,20.75,14.01,15.76,18.86,20.75,21271.50
1778.pnml,115.78,20.76,14.02,15.77,18.87,20.76,21487.72
1779.pnml,115.86,20.77,14.03,15.78,18.88,20.77,21319.51
177.pnml,29.41,2.06,1.41,1.58,1.90,2.06,273.93
1780.pnml,115.99,20.78,14.03,15.79,18.89,20.78,21821.71
1781.pnml,115.99,20.79,14.04,15.80,18.90,20.79,22405.92
1782.pnml,115.84,20.80,14.05,15.81,18.91,20.80,21588.92
1783.pnml,116.08,20.81,14.06,15.81,18.92,20.81,21501.82
