file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
1209.pnml,92.47,17.62,9.15,525.04
120.pnml,26.53,1.76,0.92,52.84
1210.pnml,92.51,17.63,9.16,521.00
1211.pnml,92.55,17.65,9.16,513.90
1212.pnml,92.46,17.66,9.17,507.48
1213.pnml,92.63,17.67,9.18,506.31
1214.pnml,92.50,17.69,9.19,499.96
1215.pnml,92.70,17.70,9.19,514.80
1216.pnml,92.69,17.71,9.20,514.96
1217.pnml,92.89,17.73,9.21,494.04
1218.pnml,92.93,17.74,9.21,527.14
1219.pnml,92.78,17.75,9.22,512.28
121.pnml,26.49,1.78,0.93,47.54
1220.pnml,93.01,17.77,9.23,514.99
1221.pnml,93.07,17.78,9.24,496.64
1222.pnml,92.91,17.79,9.24,488.24
1223.pnml,93.14,17.81,9.25,496.49
1224.pnml,93.17,17.82,9.26,519.00
1225.pnml,92.27,17.83,9.27,503.49
1226.pnml,93.37,17.85,9.27,507.30
1227.pnml,93.39,17.86,9.28,522.09
1228.pnml,93.27,17.87,9.29,525.84
1229.pnml,93.46,17.88,9.30,523.71
122.pnml,26.75,1.79,0.94,51.15
1230.pnml,93.49,17.90,9.30,523.01
1231.pnml,93.53,17.91,9.31,512.30
1232.pnml,93.55,17.92,9.32,531.37
1233.pnml,93.60,17.94,9.32,525.34
1234.pnml,93.74,17.95,9.33,527.48
1235.pnml,93.74,17.96,9.34,523.01
1236.pnml,93.78,17.98,9.35,543.05
1237.pnml,93.86,17.99,9.35,511.81
1238.pnml,94.00,18.00,9.36,521.87
1239.pnml,94.04,18.02,9.37,685.42
123.pnml,27.14,1.81,0.94,61.29
1240.pnml,93.92,18.03,9.38,698.91
1241.pnml,93.89,18.04,9.38,577.27
1242.pnml,94.15,18.06,9.39,552.40
1243.pnml,94.11,18.08,9.40,537.24
1244.pnml,94.33,18.09,9.41,542.95
1245.pnml,94.36,18.10,9.42,527.11
1246.pnml,94.38,18.12,9.43,521.95
1247.pnml,94.41,18.13,9.43,544.75
1248.pnml,94.45,18.14,9.44,522.44
1249.pnml,93.48,18.16,9.45,517.16
124.pnml,27.32,1.82,0.95,53.25
1250.pnml,94.64,18.17,9.46,533.11
1251.pnml,93.75,18.18,9.46,530.98
1252.pnml,93.83,18.20,9.47,517.54
1253.pnml,93.87,18.21,9.48,537.28
1254.pnml,93.93,18.22,9.48,546.24
1255.pnml,94.12,18.24,9.49,515.97
1256.pnml,94.04,18.25,9.50,522.03
1257.pnml,94.11,18.26,9.51,535.03
1258.pnml,94.14,18.28,9.51,528.71
1259.pnml,95.05,18.29,9.52,537.63
125.pnml,27.36,1.83,0.96,52.06
1260.pnml,94.40,18.30,9.53,523.61
1261.pnml,94.25,18.32,9.54,535.96
1262.pnml,94.39,18.33,9.54,525.80
1263.pnml,94.44,18.34,9.55,526.33
1264.pnml,94.50,18.36,9.56,518.10
1265.pnml,94.56,18.37,9.57,515.64
1266.pnml,95.53,18.38,9.57,532.87
1267.pnml,95.56,18.40,9.58,546.29
1268.pnml,95.72,18.41,9.59,534.18
1269.pnml,95.66,18.42,9.59,568.43
126.pnml,27.39,1.85,0.97,61.57
1270.pnml,95.75,18.44,9.60,659.21
1271.pnml,95.82,18.45,9.61,643.04
1272.pnml,95.84,18.46,9.62,565.76
1273.pnml,95.90,18.48,9.62,611.54
1274.pnml,95.92,18.49,9.63,622.19
1275.pnml,96.06,18.50,9.64,575.69
1276.pnml,96.02,18.52,9.65,675.95
1277.pnml,95.90,18.53,9.65,658.40
1278.pnml,96.22,18.54,9.66,659.33
1279.pnml,96.32,18.56,9.67,679.58
127.pnml,27.35,1.86,0.97,60.23
1280.pnml,96.35,18.57,9.68,560.89
1281.pnml,96.25,18.58,9.68,508.07
1282.pnml,96.42,18.60,9.69,523.49
1283.pnml,96.58,18.61,9.70,546.12
1284.pnml,96.61,18.62,9.70,549.85
1285.pnml,96.64,18.64,9.71,531.71
1286.pnml,96.68,18.65,9.72,549.22
1287.pnml,96.72,18.66,9.73,545.50
1288.pnml,96.76,18.68,9.73,553.88
1289.pnml,96.79,18.69,9.74,544.07
128.pnml,27.57,1.87,0.98,58.95
1290.pnml,96.96,18.70,9.75,556.41
1291.pnml,96.93,18.72,9.76,531.26
1292.pnml,97.03,18.73,9.76,525.27
1293.pnml,97.07,18.74,9.77,538.42
1294.pnml,97.11,18.76,9.78,548.79
1295.pnml,97.13,18.77,9.79,554.11
1296.pnml,97.30,18.78,9.79,531.40
1297.pnml,97.34,18.79,9.80,538.25
1298.pnml,97.38,18.81,9.81,548.82
1299.pnml,97.41,18.82,9.81,549.35
129.pnml,27.60,1.89,0.99,57.16
12.pnml,20.48,0.20,0.10,9.22
1300.pnml,97.49,18.83,9.82,632.90
1301.pnml,97.52,18.85,9.83,590.48
1302.pnml,97.56,18.86,9.84,638.48
1303.pnml,97.58,18.87,9.84,629.65
1304.pnml,97.73,18.89,9.85,626.48
1305.pnml,97.77,18.90,9.86,620.06
1306.pnml,97.72,18.91,9.87,642.89
1307.pnml,97.96,18.93,9.87,617.81
1308.pnml,97.78,18.94,9.88,630.49
1309.pnml,98.03,18.95,9.89,619.00
130.pnml,27.63,1.90,1.00,62.99
1310.pnml,97.94,18.97,9.90,596.67
1311.pnml,98.21,18.98,9.90,570.08
1312.pnml,98.25,18.99,9.91,575.62
1313.pnml,98.17,19.01,9.92,603.68
1314.pnml,98.32,19.02,9.92,573.47
1315.pnml,98.35,19.03,9.93,584.17
1316.pnml,98.38,19.05,9.94,587.02
1317.pnml,98.41,19.06,9.95,571.86
1318.pnml,98.36,19.07,9.95,574.90
1319.pnml,98.60,19.09,9.96,582.65
131.pnml,27.43,1.91,1.00,60.74
1320.pnml,98.59,19.10,9.97,562.95
1321.pnml,98.52,19.11,9.98,589.04
