file_name,mem_usage_mb,time_ms
T1a_augmented_test_513.pnml,30.82,658.44
T1a_augmented_test_514.pnml,30.82,682.48
T1a_augmented_test_515.pnml,30.95,631.23
T1a_augmented_test_516.pnml,30.70,642.62
T1a_augmented_test_517.pnml,30.82,628.44
T1a_augmented_test_518.pnml,30.95,685.78
T1a_augmented_test_519.pnml,30.95,678.94
T1a_augmented_test_51.pnml,19.77,7.06
T1a_augmented_test_520.pnml,31.07,655.62
T1a_augmented_test_521.pnml,31.07,667.72
T1a_augmented_test_522.pnml,30.95,663.29
T1a_augmented_test_523.pnml,31.07,647.19
T1a_augmented_test_524.pnml,30.95,651.24
T1a_augmented_test_525.pnml,31.20,699.66
T1a_augmented_test_526.pnml,31.07,706.71
T1a_augmented_test_527.pnml,31.20,725.78
T1a_augmented_test_528.pnml,31.20,684.42
T1a_augmented_test_529.pnml,31.07,679.48
T1a_augmented_test_52.pnml,19.66,8.45
T1a_augmented_test_530.pnml,31.20,682.40
T1a_augmented_test_531.pnml,31.32,672.38
T1a_augmented_test_532.pnml,31.20,667.04
T1a_augmented_test_533.pnml,31.32,699.52
T1a_augmented_test_534.pnml,31.20,681.86
T1a_augmented_test_535.pnml,31.32,726.49
T1a_augmented_test_536.pnml,31.45,726.00
T1a_augmented_test_537.pnml,31.32,717.51
T1a_augmented_test_538.pnml,31.45,702.78
T1a_augmented_test_539.pnml,31.12,677.85
T1a_augmented_test_53.pnml,19.54,9.06
T1a_augmented_test_540.pnml,31.32,707.21
T1a_augmented_test_541.pnml,31.45,739.09
T1a_augmented_test_542.pnml,31.45,682.07
T1a_augmented_test_543.pnml,31.45,734.45
T1a_augmented_test_544.pnml,31.44,715.82
T1a_augmented_test_545.pnml,31.45,714.96
T1a_augmented_test_546.pnml,31.57,720.50
T1a_augmented_test_547.pnml,31.25,756.61
T1a_augmented_test_548.pnml,31.57,709.30
T1a_augmented_test_549.pnml,31.45,755.12
T1a_augmented_test_54.pnml,19.67,8.55
T1a_augmented_test_550.pnml,31.45,796.17
T1a_augmented_test_551.pnml,31.45,741.39
T1a_augmented_test_552.pnml,31.70,739.07
T1a_augmented_test_553.pnml,31.82,761.52
T1a_augmented_test_554.pnml,31.82,742.25
T1a_augmented_test_555.pnml,31.82,740.04
T1a_augmented_test_556.pnml,31.82,740.29
T1a_augmented_test_557.pnml,31.82,754.99
T1a_augmented_test_558.pnml,31.70,773.63
T1a_augmented_test_559.pnml,31.82,771.96
T1a_augmented_test_55.pnml,19.55,9.56
T1a_augmented_test_560.pnml,31.95,726.49
T1a_augmented_test_561.pnml,31.95,806.96
T1a_augmented_test_562.pnml,31.70,774.48
T1a_augmented_test_563.pnml,31.69,766.27
T1a_augmented_test_564.pnml,31.95,832.21
T1a_augmented_test_565.pnml,32.07,750.67
T1a_augmented_test_566.pnml,31.95,756.42
T1a_augmented_test_567.pnml,31.95,797.64
T1a_augmented_test_568.pnml,31.98,787.61
T1a_augmented_test_569.pnml,32.07,802.40
T1a_augmented_test_56.pnml,19.68,11.65
T1a_augmented_test_570.pnml,32.07,782.88
T1a_augmented_test_571.pnml,32.20,852.49
T1a_augmented_test_572.pnml,32.20,808.69
T1a_augmented_test_573.pnml,32.20,895.19
T1a_augmented_test_574.pnml,32.19,799.04
T1a_augmented_test_575.pnml,32.20,842.49
T1a_augmented_test_576.pnml,32.33,834.78
T1a_augmented_test_577.pnml,32.32,794.90
T1a_augmented_test_578.pnml,32.12,794.17
T1a_augmented_test_579.pnml,32.32,774.75
T1a_augmented_test_57.pnml,19.57,9.50
T1a_augmented_test_580.pnml,32.32,814.28
T1a_augmented_test_581.pnml,32.45,846.66
T1a_augmented_test_582.pnml,32.45,823.18
