filename,transitions,places,nodes
595.pnml,4173,3578,9538
515.pnml,3613,3098,8258
121.pnml,855,734,1954
768.pnml,5384,4616,12306
323.pnml,2269,1946,5186
443.pnml,3109,2666,7106
339.pnml,2381,2042,5442
191.pnml,1345,1154,3074
139.pnml,981,842,2242
463.pnml,3249,2786,7426
853.pnml,5979,5126,13666
5.pnml,43,38,98
223.pnml,1569,1346,3586
211.pnml,1485,1274,3394
940.pnml,6588,5648,15058
210.pnml,1478,1268,3378
653.pnml,4579,3926,10466
363.pnml,2549,2186,5826
418.pnml,2934,2516,6706
467.pnml,3277,2810,7490
254.pnml,1786,1532,4082
565.pnml,3963,3398,9058
782.pnml,5482,4700,12530
892.pnml,6252,5360,14290
980.pnml,6868,5888,15698
318.pnml,2234,1916,5106
89.pnml,631,542,1442
412.pnml,2892,2480,6610
829.pnml,5811,4982,13282
229.pnml,1611,1382,3682
248.pnml,1744,1496,3986
759.pnml,5321,4562,12162
157.pnml,1107,950,2530
508.pnml,3564,3056,8146
203.pnml,1429,1226,3266
266.pnml,1870,1604,4274
761.pnml,5335,4574,12194
184.pnml,1296,1112,2962
372.pnml,2612,2240,5970
878.pnml,6154,5276,14066
97.pnml,687,590,1570
601.pnml,4215,3614,9634
933.pnml,6539,5606,14946
764.pnml,5356,4592,12242
720.pnml,5048,4328,11538
258.pnml,1814,1556,4146
241.pnml,1695,1454,3874
353.pnml,2479,2126,5666
984.pnml,6896,5912,15762
694.pnml,4866,4172,11122
140.pnml,988,848,2258
143.pnml,1009,866,2306
384.pnml,2696,2312,6162
604.pnml,4236,3632,9682
171.pnml,1205,1034,2754
639.pnml,4481,3842,10242
105.pnml,743,638,1698
642.pnml,4502,3860,10290
322.pnml,2262,1940,5170
226.pnml,1590,1364,3634
103.pnml,729,626,1666
447.pnml,3137,2690,7170
8.pnml,64,56,146
635.pnml,4453,3818,10178
235.pnml,1653,1418,3778
570.pnml,3998,3428,9138
794.pnml,5566,4772,12722
13.pnml,99,86,226
883.pnml,6189,5306,14146
69.pnml,491,422,1122
711.pnml,4985,4274,11394
16.pnml,120,104,274
650.pnml,4558,3908,10418
928.pnml,6504,5576,14866
429.pnml,3011,2582,6882
465.pnml,3263,2798,7458
