file_name,mem_usage_mb,time_ms
T1a_augmented_test_295.pnml,25.95,199.31
T1a_augmented_test_296.pnml,25.95,195.66
T1a_augmented_test_297.pnml,25.95,189.70
T1a_augmented_test_298.pnml,25.95,194.19
T1a_augmented_test_299.pnml,25.95,196.73
T1a_augmented_test_29.pnml,19.52,2.41
T1a_augmented_test_2.pnml,19.20,0.32
T1a_augmented_test_300.pnml,25.95,202.61
T1a_augmented_test_301.pnml,26.07,210.77
T1a_augmented_test_302.pnml,25.93,202.59
T1a_augmented_test_303.pnml,26.19,202.47
T1a_augmented_test_304.pnml,26.07,211.61
T1a_augmented_test_305.pnml,26.07,206.71
T1a_augmented_test_306.pnml,26.20,202.40
T1a_augmented_test_307.pnml,26.20,206.24
T1a_augmented_test_308.pnml,26.20,203.83
T1a_augmented_test_309.pnml,26.20,214.52
T1a_augmented_test_30.pnml,19.45,2.37
T1a_augmented_test_310.pnml,26.20,208.33
T1a_augmented_test_311.pnml,26.20,211.74
T1a_augmented_test_312.pnml,26.19,226.43
T1a_augmented_test_313.pnml,26.32,213.51
T1a_augmented_test_314.pnml,26.32,256.74
T1a_augmented_test_315.pnml,26.32,216.92
T1a_augmented_test_316.pnml,26.32,222.62
T1a_augmented_test_317.pnml,26.45,224.54
T1a_augmented_test_318.pnml,26.45,229.37
T1a_augmented_test_319.pnml,26.45,248.70
T1a_augmented_test_31.pnml,19.53,2.48
T1a_augmented_test_320.pnml,26.45,223.49
T1a_augmented_test_321.pnml,26.45,226.81
T1a_augmented_test_322.pnml,26.45,233.50
T1a_augmented_test_323.pnml,26.57,222.92
T1a_augmented_test_324.pnml,26.57,232.47
T1a_augmented_test_325.pnml,26.57,234.10
T1a_augmented_test_326.pnml,26.45,232.57
T1a_augmented_test_327.pnml,26.70,232.90
T1a_augmented_test_328.pnml,26.70,231.70
T1a_augmented_test_329.pnml,26.70,244.68
T1a_augmented_test_32.pnml,19.54,3.04
T1a_augmented_test_330.pnml,26.82,235.04
T1a_augmented_test_331.pnml,26.69,236.17
T1a_augmented_test_332.pnml,26.70,264.68
T1a_augmented_test_333.pnml,26.82,251.88
T1a_augmented_test_334.pnml,26.70,245.35
T1a_augmented_test_335.pnml,26.82,255.17
T1a_augmented_test_336.pnml,26.82,265.10
T1a_augmented_test_337.pnml,26.83,258.75
T1a_augmented_test_338.pnml,26.75,255.69
T1a_augmented_test_339.pnml,26.95,257.87
T1a_augmented_test_33.pnml,19.45,2.79
T1a_augmented_test_340.pnml,26.82,258.95
T1a_augmented_test_341.pnml,26.82,262.19
T1a_augmented_test_342.pnml,26.71,288.15
T1a_augmented_test_343.pnml,26.95,264.51
T1a_augmented_test_344.pnml,27.07,265.80
T1a_augmented_test_345.pnml,27.07,273.04
T1a_augmented_test_346.pnml,27.07,273.86
T1a_augmented_test_347.pnml,27.07,277.38
T1a_augmented_test_348.pnml,27.07,270.41
T1a_augmented_test_349.pnml,27.20,274.10
T1a_augmented_test_34.pnml,19.45,3.30
T1a_augmented_test_350.pnml,27.07,279.32
T1a_augmented_test_351.pnml,27.20,268.53
T1a_augmented_test_352.pnml,27.19,270.15
T1a_augmented_test_353.pnml,27.20,317.76
T1a_augmented_test_354.pnml,27.20,282.58
T1a_augmented_test_355.pnml,27.07,282.83
T1a_augmented_test_356.pnml,27.20,286.99
T1a_augmented_test_357.pnml,27.32,291.54
T1a_augmented_test_358.pnml,27.32,274.82
T1a_augmented_test_359.pnml,27.32,284.74
T1a_augmented_test_35.pnml,19.58,3.04
T1a_augmented_test_360.pnml,27.45,282.20
T1a_augmented_test_361.pnml,27.45,289.89
T1a_augmented_test_362.pnml,27.45,293.87
T1a_augmented_test_363.pnml,27.32,299.71
T1a_augmented_test_364.pnml,27.32,295.69
T1a_augmented_test_365.pnml,27.32,304.44
T1a_augmented_test_366.pnml,27.32,292.61
T1a_augmented_test_367.pnml,27.57,322.02
T1a_augmented_test_368.pnml,27.45,304.06
T1a_augmented_test_369.pnml,27.34,300.75
T1a_augmented_test_36.pnml,19.61,3.51
T1a_augmented_test_370.pnml,27.57,299.50
T1a_augmented_test_371.pnml,27.45,302.27
T1a_augmented_test_372.pnml,27.70,317.64
T1a_augmented_test_373.pnml,27.70,306.92
T1a_augmented_test_374.pnml,27.70,315.74
T1a_augmented_test_375.pnml,27.32,324.29
T1a_augmented_test_376.pnml,27.70,308.14
T1a_augmented_test_377.pnml,27.81,312.45
T1a_augmented_test_378.pnml,27.70,323.98
T1a_augmented_test_379.pnml,27.70,326.90
T1a_augmented_test_37.pnml,19.46,3.97
T1a_augmented_test_380.pnml,27.57,315.00
T1a_augmented_test_381.pnml,27.82,316.32
T1a_augmented_test_382.pnml,27.82,317.14
T1a_augmented_test_383.pnml,27.95,328.82
T1a_augmented_test_384.pnml,27.75,397.34
T1a_augmented_test_385.pnml,27.95,328.36
T1a_augmented_test_386.pnml,27.95,334.57
T1a_augmented_test_387.pnml,27.95,357.73
T1a_augmented_test_388.pnml,28.07,386.78
T1a_augmented_test_389.pnml,28.07,408.99
T1a_augmented_test_38.pnml,19.37,3.84
T1a_augmented_test_390.pnml,27.95,334.19
T1a_augmented_test_391.pnml,28.05,343.41
T1a_augmented_test_392.pnml,28.07,337.55
T1a_augmented_test_393.pnml,28.07,335.83
T1a_augmented_test_394.pnml,28.20,361.31
T1a_augmented_test_395.pnml,28.07,401.27
T1a_augmented_test_396.pnml,28.20,359.05
T1a_augmented_test_397.pnml,28.07,339.25
T1a_augmented_test_398.pnml,28.20,352.56
T1a_augmented_test_399.pnml,28.32,364.15
T1a_augmented_test_39.pnml,19.46,4.33
