file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,avg_mem_petri_parser_mb,peak_mem_petri_parser_mb,avg_mem_dec_translator_mb,peak_mem_dec_translator_mb,time_ms
298.pnml,37.70,4.36,2.27,,,,,123.00
299.pnml,37.73,4.38,2.27,,,,,125.50
29.pnml,21.48,0.45,0.23,,,,,13.92
2.pnml,19.86,0.08,0.03,,,,,2.50
300.pnml,37.77,4.39,2.28,,,,,115.73
301.pnml,37.80,4.40,2.29,,,,,128.40
302.pnml,38.00,4.42,2.29,,,,,128.36
303.pnml,37.98,4.43,2.30,,,,,131.64
304.pnml,38.02,4.44,2.31,,,,,136.83
305.pnml,38.05,4.46,2.32,,,,,126.86
306.pnml,38.08,4.47,2.32,,,,,124.91
307.pnml,38.12,4.48,2.33,,,,,126.86
308.pnml,38.28,4.50,2.34,,,,,137.35
309.pnml,38.32,4.51,2.35,,,,,126.48
30.pnml,21.61,0.46,0.24,,,,,20.20
310.pnml,38.36,4.52,2.35,,,,,125.34
311.pnml,38.36,4.54,2.36,,,,,127.99
312.pnml,38.53,4.55,2.37,,,,,121.36
313.pnml,38.55,4.56,2.38,,,,,137.06
314.pnml,38.59,4.58,2.38,,,,,132.02
315.pnml,38.61,4.59,2.39,,,,,125.58
316.pnml,38.64,4.60,2.40,,,,,136.55
317.pnml,38.81,4.61,2.40,,,,,129.87
318.pnml,38.84,4.63,2.41,,,,,141.33
319.pnml,38.87,4.64,2.42,,,,,131.46
31.pnml,21.73,0.47,0.25,,,,,18.66
320.pnml,38.91,4.66,2.43,,,,,142.64
321.pnml,38.94,4.67,2.43,,,,,141.31
322.pnml,38.97,4.68,2.44,,,,,132.52
323.pnml,39.05,4.70,2.45,,,,,152.83
324.pnml,39.16,4.71,2.46,,,,,141.73
325.pnml,39.19,4.73,2.47,,,,,136.02
326.pnml,39.23,4.75,2.48,,,,,152.78
327.pnml,39.39,4.76,2.48,,,,,132.11
328.pnml,39.25,4.77,2.49,,,,,133.19
329.pnml,39.46,4.79,2.50,,,,,143.94
32.pnml,21.73,0.49,0.26,,,,,18.28
330.pnml,39.48,4.80,2.51,,,,,141.11
331.pnml,39.51,4.81,2.51,,,,,149.85
332.pnml,39.79,4.83,2.52,,,,,144.57
333.pnml,39.71,4.84,2.53,,,,,141.11
334.pnml,39.73,4.85,2.54,,,,,146.65
335.pnml,39.76,4.87,2.54,,,,,137.24
336.pnml,39.80,4.88,2.55,,,,,143.74
337.pnml,39.83,4.89,2.56,,,,,142.25
338.pnml,39.99,4.91,2.57,,,,,149.45
339.pnml,40.02,4.92,2.57,,,,,139.72
33.pnml,21.61,0.50,0.26,,,,,17.92
340.pnml,39.05,4.93,2.58,,,,,140.73
341.pnml,39.29,4.95,2.59,,,,,143.94
342.pnml,39.20,4.96,2.60,,,,,143.68
343.pnml,39.25,4.97,2.60,,,,,146.92
344.pnml,39.15,4.99,2.61,,,,,163.73
345.pnml,39.34,5.00,2.62,,,,,148.53
346.pnml,39.39,5.01,2.63,,,,,154.84
347.pnml,39.43,5.03,2.63,,,,,151.64
348.pnml,39.48,5.04,2.64,,,,,152.49
349.pnml,39.62,5.05,2.65,,,,,152.74
34.pnml,21.86,0.51,0.27,,,,,20.67
350.pnml,39.57,5.07,2.66,,,,,143.99
351.pnml,39.61,5.08,2.66,,,,,154.53
352.pnml,39.71,5.09,2.67,,,,,144.94
353.pnml,39.83,5.11,2.68,,,,,150.31
354.pnml,39.68,5.12,2.68,,,,,160.26
355.pnml,39.93,5.13,2.69,,,,,155.32
356.pnml,39.97,5.15,2.70,,,,,154.20
357.pnml,40.02,5.16,2.71,,,,,150.18
358.pnml,40.06,5.17,2.71,,,,,149.98
359.pnml,40.10,5.19,2.72,,,,,159.73
35.pnml,21.86,0.53,0.28,,,,,20.00
360.pnml,40.15,5.20,2.73,,,,,147.72
361.pnml,40.20,5.22,2.74,,,,,155.19
362.pnml,40.25,5.23,2.74,,,,,157.09
363.pnml,40.29,5.24,2.75,,,,,150.69
364.pnml,40.46,5.26,2.76,,,,,168.49
365.pnml,40.52,5.27,2.77,,,,,150.16
366.pnml,40.55,5.29,2.78,,,,,149.42
367.pnml,40.66,5.31,2.79,,,,,154.20
368.pnml,40.70,5.32,2.79,,,,,149.64
369.pnml,40.73,5.33,2.80,,,,,160.23
36.pnml,21.98,0.54,0.29,,,,,18.96
370.pnml,40.78,5.35,2.81,,,,,155.29
371.pnml,40.61,5.36,2.82,,,,,159.95
372.pnml,40.83,5.37,2.82,,,,,155.89
373.pnml,40.90,5.39,2.83,,,,,175.86
374.pnml,40.95,5.40,2.84,,,,,160.26
375.pnml,40.91,5.41,2.85,,,,,165.95
376.pnml,41.12,5.43,2.85,,,,,150.63
377.pnml,41.20,5.44,2.86,,,,,153.10
378.pnml,41.06,5.45,2.87,,,,,157.77
379.pnml,41.29,5.47,2.88,,,,,161.64
37.pnml,21.98,0.55,0.29,,,,,22.80
380.pnml,41.33,5.48,2.88,,,,,151.28
381.pnml,41.37,5.49,2.89,,,,,159.18
382.pnml,41.31,5.51,2.90,,,,,163.85
383.pnml,41.45,5.52,2.91,,,,,164.47
384.pnml,41.52,5.53,2.91,,,,,159.17
385.pnml,41.57,5.55,2.92,,,,,161.73
386.pnml,41.61,5.56,2.93,,,,,175.98
387.pnml,41.66,5.57,2.94,,,,,155.06
388.pnml,41.82,5.59,2.94,,,,,161.67
389.pnml,41.88,5.65,2.95,,,,,163.53
38.pnml,21.87,0.57,0.30,,,,,20.21
390.pnml,41.91,5.66,2.96,,,,,161.19
391.pnml,41.96,5.68,2.97,,,,,167.76
392.pnml,42.02,5.69,2.97,,,,,161.16
393.pnml,42.06,5.70,2.98,,,,,161.16
394.pnml,42.23,5.72,2.99,,,,,168.63
395.pnml,42.10,5.73,2.99,,,,,165.19
396.pnml,42.12,5.74,3.00,,,,,171.71
397.pnml,42.34,5.76,3.01,,,,,167.99
398.pnml,42.29,5.77,3.02,,,,,166.52
399.pnml,42.33,5.78,3.02,,,,,176.98
39.pnml,22.11,0.58,0.31,,,,,24.13
3.pnml,19.98,0.09,0.04,,,,,2.05
400.pnml,42.50,5.80,3.03,,,,,167.53
401.pnml,42.55,5.81,3.04,,,,,171.97
402.pnml,42.59,5.82,3.05,,,,,169.48
403.pnml,42.64,5.84,3.05,,,,,182.63
404.pnml,42.69,5.85,3.06,,,,,164.56
405.pnml,42.73,5.86,3.07,,,,,170.24
406.pnml,42.78,5.88,3.08,,,,,173.86
407.pnml,42.82,5.89,3.08,,,,,181.29
408.pnml,42.86,5.91,3.09,,,,,166.77
409.pnml,42.92,5.92,3.10,,,,,176.62
40.pnml,22.11,0.59,0.32,,,,,21.42
410.pnml,42.96,5.93,3.10,,,,,169.57
411.pnml,43.01,5.95,3.12,,,,,177.01
412.pnml,43.18,5.96,3.12,,,,,172.81
413.pnml,43.04,5.98,3.13,,,,,169.97
414.pnml,43.32,6.00,3.14,,,,,174.86
415.pnml,43.37,6.01,3.15,,,,,181.58
416.pnml,43.34,6.02,3.16,,,,,179.23
417.pnml,43.46,6.04,3.16,,,,,172.88
418.pnml,43.48,6.05,3.17,,,,,178.33
419.pnml,43.54,6.06,3.18,,,,,182.07
41.pnml,22.23,0.61,0.32,,,,,24.02
420.pnml,43.57,6.08,3.19,,,,,189.74
421.pnml,43.62,6.09,3.19,,,,,172.69
422.pnml,43.66,6.10,3.20,,,,,177.33
423.pnml,43.70,6.12,3.21,,,,,183.12
424.pnml,43.87,6.13,3.22,,,,,175.43
425.pnml,43.92,6.14,3.22,,,,,171.47
426.pnml,43.96,6.16,3.23,,,,,176.45
427.pnml,44.00,6.17,3.24,,,,,183.16
428.pnml,44.06,6.19,3.25,,,,,180.84
429.pnml,44.10,6.20,3.25,,,,,180.91
42.pnml,22.23,0.62,0.33,,,,,24.52
430.pnml,44.14,6.21,3.26,,,,,184.78
431.pnml,44.20,6.23,3.27,,,,,200.22
432.pnml,44.23,6.24,3.28,,,,,184.63
433.pnml,44.29,6.25,3.28,,,,,200.68
434.pnml,44.34,6.27,3.29,,,,,177.35
435.pnml,44.38,6.28,3.30,,,,,206.81
436.pnml,44.30,6.29,3.31,,,,,185.43
