file_name,mem_usage_mb,time_ms
T1a_augmented_test_346.pnml,26.69,18.96
T1a_augmented_test_347.pnml,26.69,19.36
T1a_augmented_test_348.pnml,26.56,19.43
T1a_augmented_test_349.pnml,26.56,19.61
T1a_augmented_test_34.pnml,19.81,1.72
T1a_augmented_test_350.pnml,26.81,20.16
T1a_augmented_test_351.pnml,26.56,19.73
T1a_augmented_test_352.pnml,26.81,18.76
T1a_augmented_test_353.pnml,26.81,18.03
T1a_augmented_test_354.pnml,26.81,18.19
T1a_augmented_test_355.pnml,26.81,18.11
T1a_augmented_test_356.pnml,26.93,18.46
T1a_augmented_test_357.pnml,26.81,19.12
T1a_augmented_test_358.pnml,26.94,19.93
T1a_augmented_test_359.pnml,26.68,19.07
T1a_augmented_test_35.pnml,19.94,2.47
T1a_augmented_test_360.pnml,26.93,18.10
T1a_augmented_test_361.pnml,26.93,20.78
T1a_augmented_test_362.pnml,26.93,18.31
T1a_augmented_test_363.pnml,26.94,19.93
T1a_augmented_test_364.pnml,27.06,18.19
T1a_augmented_test_365.pnml,27.06,19.37
T1a_augmented_test_366.pnml,26.93,19.04
T1a_augmented_test_367.pnml,27.18,19.41
T1a_augmented_test_368.pnml,27.18,20.69
T1a_augmented_test_369.pnml,27.19,20.31
T1a_augmented_test_36.pnml,19.93,2.31
T1a_augmented_test_370.pnml,27.18,21.22
T1a_augmented_test_371.pnml,27.19,21.20
T1a_augmented_test_372.pnml,27.19,21.46
T1a_augmented_test_373.pnml,27.31,20.23
T1a_augmented_test_374.pnml,27.31,19.28
T1a_augmented_test_375.pnml,27.25,20.80
T1a_augmented_test_376.pnml,27.19,21.18
T1a_augmented_test_377.pnml,27.18,21.19
T1a_augmented_test_378.pnml,27.31,21.13
T1a_augmented_test_379.pnml,27.44,20.63
T1a_augmented_test_37.pnml,19.94,1.98
T1a_augmented_test_380.pnml,27.44,20.06
T1a_augmented_test_381.pnml,27.43,20.46
T1a_augmented_test_382.pnml,27.43,21.60
T1a_augmented_test_383.pnml,27.31,21.96
T1a_augmented_test_384.pnml,27.31,20.78
T1a_augmented_test_385.pnml,27.56,20.85
T1a_augmented_test_386.pnml,27.44,21.80
T1a_augmented_test_387.pnml,27.56,19.17
T1a_augmented_test_388.pnml,27.56,21.76
T1a_augmented_test_389.pnml,27.56,20.98
T1a_augmented_test_38.pnml,19.94,2.26
T1a_augmented_test_390.pnml,27.43,21.15
T1a_augmented_test_391.pnml,27.69,21.59
T1a_augmented_test_392.pnml,27.56,21.22
T1a_augmented_test_393.pnml,27.68,21.23
T1a_augmented_test_394.pnml,27.69,21.80
T1a_augmented_test_395.pnml,27.56,21.82
T1a_augmented_test_396.pnml,27.69,31.72
T1a_augmented_test_397.pnml,27.69,22.18
T1a_augmented_test_398.pnml,27.68,22.07
T1a_augmented_test_399.pnml,27.68,22.10
T1a_augmented_test_39.pnml,19.93,1.95
T1a_augmented_test_3.pnml,19.18,0.80
T1a_augmented_test_400.pnml,27.81,21.77
T1a_augmented_test_401.pnml,27.56,21.42
T1a_augmented_test_402.pnml,27.93,22.61
T1a_augmented_test_403.pnml,27.94,22.31
T1a_augmented_test_404.pnml,27.81,22.21
T1a_augmented_test_405.pnml,27.93,22.26
T1a_augmented_test_406.pnml,27.94,21.69
T1a_augmented_test_407.pnml,27.75,22.55
T1a_augmented_test_408.pnml,27.94,23.65
T1a_augmented_test_409.pnml,28.06,22.15
T1a_augmented_test_40.pnml,19.83,2.49
T1a_augmented_test_410.pnml,27.94,21.42
T1a_augmented_test_411.pnml,27.94,22.57
T1a_augmented_test_412.pnml,28.05,22.09
T1a_augmented_test_413.pnml,27.94,21.57
T1a_augmented_test_414.pnml,28.06,23.43
T1a_augmented_test_415.pnml,28.18,21.88
T1a_augmented_test_416.pnml,28.18,22.53
T1a_augmented_test_417.pnml,28.18,22.71
T1a_augmented_test_418.pnml,28.18,22.95
T1a_augmented_test_419.pnml,28.31,23.22
T1a_augmented_test_41.pnml,19.94,2.00
T1a_augmented_test_420.pnml,28.08,21.56
T1a_augmented_test_421.pnml,28.31,23.96
T1a_augmented_test_422.pnml,28.31,23.77
T1a_augmented_test_423.pnml,28.19,22.97
T1a_augmented_test_424.pnml,28.31,24.12
T1a_augmented_test_425.pnml,28.31,22.55
T1a_augmented_test_426.pnml,28.44,23.38
T1a_augmented_test_427.pnml,28.31,25.95
T1a_augmented_test_428.pnml,28.43,23.45
T1a_augmented_test_429.pnml,28.31,21.92
T1a_augmented_test_42.pnml,19.93,2.04
T1a_augmented_test_430.pnml,28.31,24.57
T1a_augmented_test_431.pnml,28.19,22.25
T1a_augmented_test_432.pnml,28.43,22.87
T1a_augmented_test_433.pnml,28.56,23.82
T1a_augmented_test_434.pnml,28.43,23.97
T1a_augmented_test_435.pnml,28.44,23.70
T1a_augmented_test_436.pnml,28.56,24.11
T1a_augmented_test_437.pnml,28.56,23.05
T1a_augmented_test_438.pnml,28.43,26.30
T1a_augmented_test_439.pnml,28.68,26.70
T1a_augmented_test_43.pnml,20.06,2.48
T1a_augmented_test_440.pnml,28.56,22.63
T1a_augmented_test_441.pnml,28.56,24.06
T1a_augmented_test_442.pnml,28.68,25.10
T1a_augmented_test_443.pnml,28.56,23.20
T1a_augmented_test_444.pnml,28.81,24.67
T1a_augmented_test_445.pnml,28.81,26.67
T1a_augmented_test_446.pnml,28.81,25.16
T1a_augmented_test_447.pnml,28.80,22.97
T1a_augmented_test_448.pnml,28.69,25.21
T1a_augmented_test_449.pnml,28.93,26.80
T1a_augmented_test_44.pnml,20.06,2.25
T1a_augmented_test_450.pnml,28.93,24.22
T1a_augmented_test_451.pnml,28.81,23.55
T1a_augmented_test_452.pnml,28.93,24.53
T1a_augmented_test_453.pnml,28.81,28.25
T1a_augmented_test_454.pnml,28.81,24.18
T1a_augmented_test_455.pnml,28.94,26.63
T1a_augmented_test_456.pnml,28.93,23.65
T1a_augmented_test_457.pnml,29.06,25.17
T1a_augmented_test_458.pnml,28.93,23.43
T1a_augmented_test_459.pnml,29.05,26.44
T1a_augmented_test_45.pnml,20.06,2.16
T1a_augmented_test_460.pnml,29.19,25.28
T1a_augmented_test_461.pnml,29.06,28.43
T1a_augmented_test_462.pnml,29.18,25.06
T1a_augmented_test_463.pnml,28.94,26.75
T1a_augmented_test_464.pnml,29.18,25.20
T1a_augmented_test_465.pnml,29.19,26.78
T1a_augmented_test_466.pnml,29.31,27.90
T1a_augmented_test_467.pnml,29.31,26.74
T1a_augmented_test_468.pnml,29.31,25.01
T1a_augmented_test_469.pnml,29.19,26.15
T1a_augmented_test_46.pnml,20.19,2.69
T1a_augmented_test_470.pnml,29.19,24.38
T1a_augmented_test_471.pnml,29.31,25.48
T1a_augmented_test_472.pnml,29.19,24.91
T1a_augmented_test_473.pnml,29.31,25.61
T1a_augmented_test_474.pnml,29.43,25.79
T1a_augmented_test_475.pnml,29.43,27.10
T1a_augmented_test_476.pnml,29.44,26.08
T1a_augmented_test_477.pnml,29.43,24.64
T1a_augmented_test_478.pnml,29.56,26.18
T1a_augmented_test_479.pnml,29.44,26.73
T1a_augmented_test_47.pnml,20.06,2.21
T1a_augmented_test_480.pnml,29.43,25.29
T1a_augmented_test_481.pnml,29.43,25.24
T1a_augmented_test_482.pnml,29.55,25.55
T1a_augmented_test_483.pnml,29.56,25.30
T1a_augmented_test_484.pnml,29.68,27.37
T1a_augmented_test_485.pnml,29.56,27.22
T1a_augmented_test_486.pnml,29.56,25.41
T1a_augmented_test_487.pnml,29.68,25.35
T1a_augmented_test_488.pnml,29.69,28.30
T1a_augmented_test_489.pnml,29.81,25.52
