file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
6224.pnml,87.35,55.96,28.79,1010.92
6225.pnml,87.39,55.97,28.79,1011.69
6226.pnml,87.19,55.98,28.79,996.57
6227.pnml,87.21,55.99,28.80,946.72
6228.pnml,87.39,56.00,28.80,941.37
6229.pnml,87.40,56.01,28.81,991.71
622.pnml,23.48,1.32,0.74,32.17
6230.pnml,87.37,56.02,28.81,958.00
6231.pnml,87.40,56.03,28.82,990.47
6232.pnml,87.41,56.04,28.83,993.22
6233.pnml,87.41,56.05,28.83,968.31
6234.pnml,87.39,56.06,28.84,993.08
6235.pnml,87.54,56.07,28.84,961.05
6236.pnml,87.41,56.07,28.84,975.16
6237.pnml,87.54,56.08,28.85,932.07
6238.pnml,87.54,56.10,28.85,984.19
6239.pnml,87.55,56.11,28.86,990.68
623.pnml,23.32,1.34,0.75,31.44
6240.pnml,87.55,56.12,28.87,939.37
6241.pnml,87.55,56.13,28.87,940.22
6242.pnml,87.47,56.14,28.88,987.47
6243.pnml,87.56,56.15,28.88,968.71
6244.pnml,87.56,56.16,28.89,999.26
6245.pnml,87.57,56.17,28.89,1010.37
6246.pnml,87.70,56.18,28.90,1051.40
6247.pnml,87.57,56.19,28.90,945.98
6248.pnml,87.35,56.20,28.91,933.46
6249.pnml,87.37,56.21,28.91,965.26
624.pnml,23.48,1.34,0.75,33.34
6250.pnml,87.59,56.22,28.92,991.47
6251.pnml,87.58,56.23,28.92,958.17
6252.pnml,87.71,56.24,28.93,987.84
6253.pnml,87.70,56.25,28.93,992.47
6254.pnml,87.63,56.25,28.93,939.91
6255.pnml,87.73,56.26,28.94,933.79
6256.pnml,87.73,56.27,28.94,942.05
6257.pnml,87.86,56.40,29.01,978.41
6258.pnml,87.86,56.42,29.02,1012.06
6259.pnml,87.72,56.42,29.02,1005.05
625.pnml,23.48,1.34,0.75,31.78
6260.pnml,87.87,56.43,29.02,953.08
