file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
283.pnml,20.70,0.30,0.19,12.57
284.pnml,20.04,0.30,0.19,12.14
285.pnml,20.63,0.30,0.19,14.21
286.pnml,20.52,0.30,0.19,13.89
287.pnml,20.48,0.30,0.19,14.14
288.pnml,20.71,0.31,0.19,13.69
289.pnml,20.74,0.31,0.19,15.38
28.pnml,19.10,0.07,0.03,2.54
290.pnml,20.49,0.31,0.19,13.85
291.pnml,20.82,0.31,0.19,12.86
292.pnml,20.82,0.31,0.19,12.94
293.pnml,20.85,0.31,0.19,12.29
294.pnml,20.82,0.31,0.19,15.79
295.pnml,20.95,0.31,0.19,13.98
296.pnml,21.00,0.31,0.20,15.63
297.pnml,20.55,0.31,0.20,12.69
298.pnml,20.99,0.31,0.20,17.17
299.pnml,20.88,0.32,0.20,13.26
29.pnml,19.12,0.07,0.03,2.00
2.pnml,18.85,0.05,0.01,0.93
300.pnml,20.96,0.34,0.20,13.54
301.pnml,20.55,0.34,0.20,14.53
302.pnml,20.96,0.34,0.20,14.70
303.pnml,20.70,0.34,0.20,16.61
304.pnml,20.86,0.34,0.20,17.32
305.pnml,20.94,0.34,0.20,17.12
306.pnml,20.87,0.35,0.20,17.56
307.pnml,20.57,0.35,0.20,19.16
308.pnml,20.80,0.35,0.20,15.08
309.pnml,20.88,0.35,0.20,15.06
30.pnml,18.98,0.07,0.03,1.94
310.pnml,21.03,0.35,0.20,17.76
311.pnml,20.80,0.35,0.20,16.23
312.pnml,20.88,0.35,0.21,16.18
313.pnml,20.90,0.35,0.21,16.06
314.pnml,20.59,0.35,0.21,17.07
315.pnml,20.84,0.35,0.21,19.82
316.pnml,20.90,0.35,0.21,16.80
317.pnml,20.86,0.36,0.21,16.00
318.pnml,20.86,0.36,0.21,16.22
319.pnml,20.70,0.36,0.21,14.83
31.pnml,19.15,0.07,0.03,2.14
320.pnml,20.98,0.36,0.21,14.99
321.pnml,20.99,0.36,0.21,16.20
322.pnml,20.96,0.36,0.21,15.31
323.pnml,20.84,0.36,0.21,14.94
324.pnml,20.75,0.36,0.21,16.67
325.pnml,20.93,0.36,0.21,16.67
326.pnml,20.50,0.36,0.21,16.66
327.pnml,21.09,0.36,0.21,15.36
328.pnml,21.02,0.36,0.21,16.04
329.pnml,20.98,0.37,0.22,17.83
32.pnml,19.13,0.08,0.03,2.87
330.pnml,21.00,0.37,0.22,16.37
331.pnml,21.11,0.37,0.22,16.31
332.pnml,20.69,0.37,0.22,17.24
333.pnml,20.51,0.37,0.22,17.27
334.pnml,21.07,0.37,0.22,16.85
335.pnml,21.12,0.38,0.22,17.70
336.pnml,20.66,0.38,0.22,16.77
337.pnml,20.95,0.38,0.22,16.27
338.pnml,21.12,0.39,0.22,15.71
339.pnml,21.06,0.39,0.22,15.97
33.pnml,19.20,0.08,0.03,2.08
340.pnml,21.07,0.39,0.22,17.06
341.pnml,20.90,0.39,0.22,15.70
342.pnml,21.08,0.39,0.22,16.65
343.pnml,21.14,0.39,0.22,17.89
344.pnml,20.96,0.39,0.22,16.50
345.pnml,21.01,0.39,0.23,18.27
346.pnml,20.83,0.40,0.23,16.57
347.pnml,21.13,0.40,0.23,16.76
348.pnml,21.24,0.40,0.23,15.70
349.pnml,21.15,0.40,0.23,17.34
34.pnml,19.00,0.08,0.03,2.37
