file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
313.pnml,21.47,0.32,0.20,14.36
314.pnml,21.33,0.32,0.20,14.30
315.pnml,21.21,0.32,0.21,14.90
316.pnml,21.32,0.32,0.21,14.81
317.pnml,21.40,0.32,0.21,14.49
318.pnml,21.56,0.32,0.21,14.78
319.pnml,21.27,0.32,0.21,14.78
31.pnml,19.82,0.07,0.03,2.35
320.pnml,21.40,0.32,0.21,15.37
321.pnml,21.58,0.32,0.21,16.80
322.pnml,21.27,0.32,0.21,14.70
323.pnml,21.40,0.33,0.21,15.46
324.pnml,21.35,0.33,0.21,15.10
325.pnml,21.54,0.33,0.21,16.07
326.pnml,21.19,0.33,0.21,16.65
327.pnml,21.43,0.33,0.21,17.73
328.pnml,21.23,0.33,0.21,19.71
329.pnml,21.34,0.33,0.21,17.76
32.pnml,19.65,0.07,0.03,3.55
330.pnml,21.44,0.33,0.21,16.85
331.pnml,21.28,0.33,0.21,17.13
332.pnml,21.14,0.33,0.22,19.99
333.pnml,21.57,0.33,0.22,17.67
334.pnml,21.33,0.33,0.22,16.90
335.pnml,21.39,0.34,0.22,17.08
336.pnml,21.34,0.34,0.22,19.38
337.pnml,21.29,0.34,0.22,17.70
338.pnml,21.34,0.34,0.22,17.16
339.pnml,21.61,0.34,0.22,17.04
33.pnml,19.74,0.07,0.03,2.55
340.pnml,21.33,0.35,0.22,17.38
341.pnml,21.24,0.35,0.22,17.89
342.pnml,21.16,0.35,0.22,18.21
343.pnml,21.36,0.35,0.22,18.25
344.pnml,21.27,0.35,0.22,18.40
345.pnml,21.47,0.35,0.22,17.57
346.pnml,21.55,0.35,0.22,17.95
347.pnml,21.13,0.35,0.22,17.54
348.pnml,21.56,0.35,0.23,17.94
349.pnml,21.60,0.35,0.23,19.48
34.pnml,19.76,0.08,0.03,2.49
350.pnml,21.41,0.35,0.23,17.98
351.pnml,21.65,0.35,0.23,17.85
352.pnml,21.50,0.36,0.23,19.22
353.pnml,21.75,0.36,0.23,23.52
354.pnml,21.38,0.36,0.23,19.64
355.pnml,21.58,0.36,0.23,18.15
356.pnml,21.73,0.36,0.23,18.55
357.pnml,21.59,0.36,0.23,18.19
358.pnml,21.60,0.36,0.23,19.77
359.pnml,21.54,0.36,0.23,18.69
35.pnml,19.81,0.08,0.03,2.52
360.pnml,21.13,0.36,0.23,18.51
361.pnml,21.52,0.36,0.23,20.43
362.pnml,21.05,0.36,0.23,20.09
363.pnml,21.64,0.36,0.23,18.46
364.pnml,21.72,0.37,0.24,18.56
365.pnml,21.51,0.37,0.24,18.73
366.pnml,21.36,0.37,0.24,19.17
367.pnml,21.59,0.37,0.24,20.60
368.pnml,21.70,0.37,0.24,19.15
369.pnml,21.54,0.37,0.24,18.61
36.pnml,19.89,0.08,0.03,3.40
370.pnml,21.63,0.37,0.24,18.96
371.pnml,21.44,0.37,0.24,19.26
372.pnml,21.67,0.37,0.24,18.98
373.pnml,21.69,0.37,0.24,19.25
374.pnml,21.67,0.37,0.24,19.11
375.pnml,21.74,0.37,0.24,19.02
376.pnml,21.48,0.37,0.24,20.76
377.pnml,21.82,0.38,0.24,19.10
378.pnml,21.80,0.38,0.24,18.81
379.pnml,21.73,0.38,0.24,20.65
37.pnml,19.74,0.08,0.03,2.92
380.pnml,21.73,0.38,0.25,19.00
381.pnml,21.89,0.38,0.25,19.82
382.pnml,21.65,0.38,0.25,21.79
383.pnml,21.80,0.38,0.25,19.21
384.pnml,21.79,0.38,0.25,20.65
385.pnml,21.55,0.38,0.25,19.72
386.pnml,21.86,0.38,0.25,19.93
387.pnml,21.72,0.38,0.25,20.52
388.pnml,21.53,0.39,0.25,20.29
389.pnml,21.61,0.39,0.25,20.86
38.pnml,19.48,0.08,0.03,2.81
390.pnml,21.38,0.39,0.25,21.24
391.pnml,21.82,0.41,0.25,20.19
392.pnml,21.61,0.41,0.25,23.24
393.pnml,21.77,0.41,0.25,20.02
394.pnml,21.54,0.41,0.25,26.07
395.pnml,21.80,0.41,0.25,19.90
396.pnml,21.62,0.41,0.25,19.89
397.pnml,21.87,0.41,0.26,20.55
398.pnml,21.91,0.41,0.26,20.09
399.pnml,21.73,0.41,0.26,20.10
39.pnml,19.68,0.08,0.03,3.00
3.pnml,19.63,0.05,0.01,1.49
400.pnml,21.91,0.41,0.26,20.64
401.pnml,21.81,0.42,0.26,19.98
402.pnml,21.95,0.42,0.26,20.55
403.pnml,21.84,0.42,0.26,21.15
404.pnml,21.91,0.42,0.26,22.76
405.pnml,21.89,0.42,0.26,22.36
406.pnml,21.70,0.42,0.26,21.11
407.pnml,21.93,0.42,0.26,21.33
408.pnml,21.86,0.42,0.26,21.52
409.pnml,21.60,0.42,0.26,23.77
40.pnml,19.78,0.08,0.04,2.81
410.pnml,21.70,0.42,0.26,21.07
