Constraint,Fitness,Cluster,fitness_sublog_1,fitness_sublog_2,fitness_sublog_3,fitness_sublog_4,fitness_sublog_5,fitness_sublog_6,fitness_sublog_7,fitness_sublog_8,fitness_sublog_9,fitness_sublog_10
"'AlternatePrecedence(01_HOOFD_490_5, {01_HOOFD_495, 01_HOOFD_510_2})'",0.501,4,,,0.56,,,,,,,
"'AlternatePrecedence(01_HOOFD_491, 01_HOOFD_495)'",0.895,3,,,0.773,,,,,,,
"'AlternatePrecedence(01_HOOFD_500, 01_HOOFD_510_1)'",0.842,3,,,0.813,,,,,,,
"'AlternatePrecedence(01_HOOFD_510_1, {01_HOOFD_510_2a, 01_HOOFD_520})'",0.995,3,,,1.0,,1.0,1.0,,,1.0,
"'AlternatePrecedence(01_HOOFD_510_2, {01_HOOFD_510_2a, 01_HOOFD_520, END})'",0.104,1,,,0.2,,0.0,0.0,,,0.0,
"'AlternatePrecedence(01_HOOFD_510_1, {01_HOOFD_510_3, 01_HOOFD_520})'",0.985,3,,,0.96,,,,,,,
"'AlternatePrecedence(01_HOOFD_510_2, {01_HOOFD_510_3, 01_HOOFD_520, END})'",0.023,1,,,0.16,,,,,,,
"'AlternatePrecedence(01_HOOFD_510_2a, 01_HOOFD_510_3)'",0.866,3,,,0.92,,,,,,,
"'AlternatePrecedence(01_HOOFD_510_4, 01_HOOFD_515)'",0.909,3,,,0.96,,,,,,,
"'AlternatePrecedence({01_BB_770, 01_HOOFD_515}, {01_HOOFD_810, END})'",0.472,4,,,0.427,,,,,,,
"'AlternatePrecedence(01_BB_540, 01_HOOFD_814)'",0.943,3,,,0.987,,,,,,,
"'AlternatePrecedence(01_BB_770, {01_HOOFD_814, END})'",0.146,1,,,0.133,,,,,,,
"'AlternatePrecedence(01_HOOFD_810, {01_HOOFD_814, 01_HOOFD_820})'",0.769,4,,,0.92,,,,,,,
"'AlternatePrecedence({01_HOOFD_030_1, 01_HOOFD_050, 01_HOOFD_065_0}, 02_DRZ_010)'",0.999,3,,,1.0,,,,,,,
"'AlternatePrecedence(02_DRZ_010, 04_BPT_005)'",0.999,3,,,0.987,,,,,,,
"'AlternatePrecedence(03_GBH_005, {04_BPT_005, 16_LGSV_010})'",0.659,4,,,0.707,,,,,,,
"'AlternatePrecedence(08_AWB45_020_1, 08_AWB45_020_2)'",0.998,3,,,0.973,,,,,,,
"'AlternatePrecedence({08_AWB45_005, 08_AWB45_020_1}, 08_AWB45_030)'",0.998,3,,,0.973,,,,,,,
"'AlternatePrecedence({08_AWB45_005, 08_AWB45_020_2}, 08_AWB45_030)'",0.99,3,,,0.96,,,,,,,
"'AlternatePrecedence(08_AWB45_020_1, {08_AWB45_030, 14_VRIJ_010})'",0.721,4,,,0.747,,,,,,,
"'AlternatePrecedence({01_HOOFD_480, 08_AWB45_005}, 09_AH_I_010)'",0.997,3,,,0.973,,,,,,,
"'AlternatePrecedence({01_HOOFD_480, 08_AWB45_030}, 09_AH_I_010)'",0.956,3,,,0.773,,,,,,,
"'AlternatePrecedence({01_HOOFD_490_1, 08_AWB45_005}, 09_AH_I_010)'",0.97,3,,,0.973,,,,,,,
"'AlternatePrecedence({01_HOOFD_490_1, 08_AWB45_030}, 09_AH_I_010)'",0.916,3,,,0.76,,,,,,,
"'AlternatePrecedence(05_EIND_010, 16_LGSV_010)'",0.937,3,,,0.853,,,,,,,
