file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
420.pnml,43.38,5.83,3.06,210.53
421.pnml,43.25,5.84,3.07,241.05
422.pnml,43.44,5.85,3.08,225.44
423.pnml,43.35,5.86,3.09,224.73
424.pnml,43.28,5.88,3.09,225.91
425.pnml,42.87,5.89,3.10,224.89
426.pnml,43.33,5.91,3.11,221.46
427.pnml,43.60,5.92,3.12,212.84
428.pnml,43.53,5.93,3.12,238.03
429.pnml,43.29,5.94,3.13,214.12
42.pnml,21.96,0.60,0.32,26.22
430.pnml,43.57,5.96,3.14,224.65
431.pnml,43.74,5.97,3.14,226.38
432.pnml,43.92,5.98,3.15,226.89
433.pnml,43.88,6.00,3.16,229.45
434.pnml,43.48,6.01,3.16,234.10
435.pnml,44.03,6.02,3.17,220.77
436.pnml,43.90,6.03,3.18,226.13
437.pnml,44.03,6.05,3.19,233.52
438.pnml,44.29,6.06,3.19,221.86
439.pnml,44.29,6.07,3.20,231.40
43.pnml,22.37,0.61,0.33,26.02
440.pnml,44.36,6.08,3.21,224.59
441.pnml,43.89,6.10,3.21,223.15
442.pnml,44.04,6.11,3.22,244.16
443.pnml,44.57,6.12,3.23,226.89
444.pnml,44.41,6.14,3.23,233.38
445.pnml,44.57,6.15,3.24,237.79
446.pnml,44.78,6.16,3.25,235.20
447.pnml,44.70,6.17,3.26,223.84
448.pnml,44.51,6.19,3.26,221.06
449.pnml,44.77,6.20,3.27,224.35
44.pnml,22.21,0.62,0.34,26.87
450.pnml,44.78,6.21,3.28,226.08
451.pnml,44.74,6.22,3.28,226.61
452.pnml,44.74,6.24,3.29,243.87
453.pnml,44.84,6.25,3.30,244.65
454.pnml,44.94,6.36,3.31,235.46
455.pnml,44.62,6.37,3.31,234.51
456.pnml,45.46,6.39,3.32,235.27
457.pnml,45.38,6.40,3.33,225.32
458.pnml,45.45,6.41,3.33,239.32
459.pnml,45.59,6.42,3.34,239.18
45.pnml,22.08,0.64,0.34,24.42
460.pnml,45.22,6.44,3.35,233.38
461.pnml,44.94,6.45,3.35,223.45
462.pnml,45.54,6.46,3.36,237.70
463.pnml,45.68,6.48,3.37,230.25
464.pnml,45.40,6.49,3.38,236.52
465.pnml,45.93,6.51,3.39,237.53
466.pnml,45.98,6.53,3.40,230.64
467.pnml,45.94,6.54,3.41,245.48
468.pnml,46.09,6.55,3.41,234.13
469.pnml,46.03,6.57,3.42,236.92
46.pnml,22.36,0.65,0.35,23.54
470.pnml,46.00,6.58,3.43,230.83
471.pnml,45.78,6.59,3.43,237.76
472.pnml,46.20,6.60,3.44,239.56
473.pnml,46.21,6.62,3.45,239.32
474.pnml,46.25,6.63,3.46,252.14
475.pnml,46.38,6.64,3.46,246.14
476.pnml,46.30,6.65,3.47,245.08
477.pnml,46.46,6.67,3.48,230.01
478.pnml,46.57,6.68,3.48,234.01
479.pnml,46.47,6.69,3.49,244.42
47.pnml,22.26,0.66,0.36,26.30
480.pnml,46.07,6.71,3.50,250.35
481.pnml,46.71,6.72,3.51,238.03
482.pnml,46.68,6.74,3.51,237.76
483.pnml,46.29,6.75,3.52,247.41
484.pnml,46.85,6.76,3.53,237.32
485.pnml,46.81,6.77,3.54,236.73
486.pnml,46.87,6.79,3.54,239.29
487.pnml,46.93,6.80,3.55,248.98
488.pnml,47.07,6.81,3.56,239.12
489.pnml,46.91,6.82,3.56,247.57
48.pnml,22.30,0.68,0.37,25.66
490.pnml,46.77,6.84,3.57,237.52
491.pnml,46.86,6.85,3.58,253.32
492.pnml,47.12,6.86,3.58,238.66
493.pnml,47.29,6.88,3.59,249.74
494.pnml,47.24,6.89,3.60,246.41
495.pnml,49.02,6.90,3.61,249.13
496.pnml,49.67,6.91,3.61,239.00
497.pnml,49.48,6.93,3.62,255.58
498.pnml,49.85,6.94,3.63,243.27
499.pnml,49.82,6.95,3.63,259.99
49.pnml,22.61,0.69,0.37,25.67
4.pnml,19.79,0.10,0.05,2.96
500.pnml,49.91,6.96,3.64,252.44
501.pnml,49.34,6.98,3.65,251.81
502.pnml,49.95,6.99,3.65,247.11
503.pnml,49.40,7.00,3.66,254.34
504.pnml,49.33,7.02,3.67,249.56
505.pnml,50.06,7.03,3.68,258.08
506.pnml,49.14,7.04,3.68,258.34
507.pnml,49.99,7.05,3.69,245.89
508.pnml,50.22,7.07,3.70,247.48
509.pnml,50.29,7.08,3.70,250.67
50.pnml,22.47,0.73,0.38,26.10
510.pnml,50.12,7.09,3.71,261.68
511.pnml,50.07,7.10,3.72,258.06
512.pnml,50.37,7.12,3.73,258.02
513.pnml,50.05,7.13,3.73,265.25
514.pnml,50.57,7.14,3.74,250.50
515.pnml,50.54,7.15,3.75,251.34
516.pnml,50.54,7.17,3.75,256.52
517.pnml,50.57,7.18,3.76,253.38
518.pnml,50.62,7.19,3.77,254.92
519.pnml,50.32,7.21,3.77,264.99
51.pnml,22.73,0.75,0.39,26.80
520.pnml,50.79,7.22,3.78,249.03
521.pnml,50.80,7.23,3.79,264.85
522.pnml,50.24,7.25,3.80,263.34
523.pnml,51.00,7.26,3.81,288.43
524.pnml,50.86,7.28,3.82,264.70
525.pnml,50.29,7.30,3.83,256.23
526.pnml,50.89,7.31,3.83,269.49
527.pnml,50.82,7.32,3.84,273.45
528.pnml,50.76,7.34,3.85,277.11
529.pnml,51.11,7.35,3.86,265.90
52.pnml,22.64,0.76,0.39,26.79
530.pnml,51.47,7.36,3.86,266.87
531.pnml,51.39,7.37,3.87,264.62
532.pnml,51.52,7.39,3.88,270.23
533.pnml,50.85,7.40,3.88,272.12
534.pnml,51.40,7.41,3.89,282.00
535.pnml,51.79,7.42,3.90,261.51
536.pnml,51.69,7.44,3.90,268.33
537.pnml,51.73,7.45,3.91,278.63
538.pnml,51.98,7.46,3.92,281.14
539.pnml,51.74,7.47,3.93,269.02
53.pnml,22.64,0.77,0.40,31.26
540.pnml,51.81,7.49,3.93,273.19
541.pnml,52.09,7.51,3.94,271.92
542.pnml,51.77,7.52,3.95,277.56
543.pnml,52.20,7.53,3.96,275.14
544.pnml,51.87,7.54,3.96,280.58
545.pnml,52.21,7.56,3.97,280.27
546.pnml,52.47,7.57,3.98,263.43
547.pnml,52.34,7.58,3.98,267.50
548.pnml,52.09,7.60,3.99,279.01
549.pnml,52.00,7.61,4.00,279.29
54.pnml,22.88,0.78,0.41,28.67
550.pnml,52.41,7.62,4.01,277.31
551.pnml,52.62,7.63,4.01,280.14
552.pnml,51.94,7.65,4.02,276.52
553.pnml,52.34,7.66,4.03,282.68
554.pnml,52.79,7.67,4.03,273.64
555.pnml,52.90,7.68,4.04,277.16
556.pnml,52.90,7.70,4.05,279.91
557.pnml,52.96,7.71,4.06,283.54
558.pnml,52.55,7.72,4.06,272.55
559.pnml,52.72,7.74,4.07,277.71
55.pnml,22.74,0.80,0.42,28.11
560.pnml,52.88,7.75,4.08,313.89
561.pnml,53.09,7.76,4.08,292.88
562.pnml,52.69,7.77,4.09,291.75
563.pnml,53.36,7.79,4.10,284.19
564.pnml,53.18,7.80,4.10,278.80
565.pnml,53.04,7.81,4.11,279.71
566.pnml,53.26,7.82,4.12,289.42
567.pnml,53.22,7.84,4.13,290.65
568.pnml,53.46,7.85,4.13,285.86
569.pnml,53.23,7.86,4.14,290.07
56.pnml,22.93,0.82,0.42,28.37
570.pnml,53.68,7.87,4.15,290.98
571.pnml,53.57,7.89,4.15,280.04
572.pnml,53.67,7.90,4.16,288.32
573.pnml,53.34,7.91,4.17,290.20
574.pnml,53.66,7.93,4.17,302.53
575.pnml,53.69,7.94,4.18,295.75
576.pnml,53.60,7.95,4.19,296.80
577.pnml,54.14,7.96,4.20,297.61
578.pnml,53.77,7.98,4.20,296.43
579.pnml,54.02,7.99,4.21,305.61
57.pnml,22.90,0.84,0.43,30.37
580.pnml,53.90,8.00,4.22,292.53
581.pnml,54.16,8.01,4.22,299.66
582.pnml,54.19,8.03,4.23,292.76
583.pnml,54.27,8.04,4.24,294.28
584.pnml,54.26,8.05,4.25,300.83
585.pnml,54.63,8.07,4.25,289.42
586.pnml,54.16,8.08,4.26,284.68
587.pnml,54.21,8.09,4.27,301.10
588.pnml,54.56,8.10,4.27,295.95
589.pnml,54.62,8.12,4.29,296.86
58.pnml,23.04,0.85,0.44,31.74
590.pnml,54.81,8.15,4.30,294.77
591.pnml,54.57,8.16,4.31,301.24
592.pnml,55.07,8.17,4.31,292.15
593.pnml,54.90,8.18,4.32,299.64
594.pnml,54.93,8.20,4.33,308.45
595.pnml,54.85,8.21,4.33,291.92
596.pnml,55.25,8.22,4.34,310.09
597.pnml,54.92,8.23,4.35,313.68
598.pnml,54.72,8.25,4.36,300.69
599.pnml,55.16,8.26,4.36,307.84
59.pnml,23.12,0.86,0.44,33.25
5.pnml,19.92,0.11,0.05,3.39
600.pnml,55.30,8.27,4.37,301.59
601.pnml,55.15,8.29,4.38,299.90
602.pnml,55.61,8.30,4.38,295.47
603.pnml,55.77,8.31,4.39,302.85
604.pnml,55.73,8.32,4.40,300.10
605.pnml,55.66,8.34,4.41,316.30
606.pnml,55.92,8.35,4.41,296.87
607.pnml,55.95,8.36,4.42,301.52
608.pnml,55.95,8.37,4.43,293.07
609.pnml,56.02,8.39,4.44,306.19
60.pnml,23.24,0.88,0.45,32.53
610.pnml,55.68,8.41,4.44,304.99
611.pnml,56.00,8.42,4.45,314.60
612.pnml,56.25,8.43,4.46,305.85
613.pnml,55.73,8.44,4.46,309.82
614.pnml,55.95,8.46,4.47,300.83
615.pnml,56.37,8.47,4.48,302.65
